1792	5813305812	4731706	739022040	7774670
1824	6492601669	2010191	767437655	5371862
1856	6621179925	2543620	810335774	5976368
1888	7200549784	2170303	851186031	5780707
1920	7208460002	3784283	900998434	7294591
1952	7958171330	2342474	940759376	6181747
1984	8087704847	2984882	989929842	6877861
2016	8769969746	2516735	1036269336	6589799
2048	8758544157	8280497	1216064629	6509307
